episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.099398,0.255456,0.391111,0.34777,0.099398,0.255456,0.391111,0.34777,0.5496987700462341,8,0.6955555230379105,0.673884928226471,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.154169,-0.544554,0.19377,,-0.154169,-0.544554,0.19377,0.0,,,,,,,0.42291538417339325,0.2277229130268097,0.5968851745128632,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.169101,-0.494698,0.44492,0.391695,0.169101,-0.494698,0.44492,0.391695,,,,,,,,,,0.5845504701137543,0.25265099108219147,373,0.6958475708961487,
1,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.535117,,,,-0.535117,0.0,0.0,0.0,,,,,,,,,,,,,,0.23244166374206543
1,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.603454,,,,-0.603454,0.0,0.0,0.0,,,,,,,,,,,,,,0.19827279448509216
1,6,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.135311,0.273715,0.258159,0.232481,-0.135311,0.273715,0.258159,0.232481,0.43234460800886154,8,0.6290795654058456,0.6162402555346489,,,,,,,,,,
1,7,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.511683,-0.429628,-0.461194,,0.511683,-0.429628,-0.461194,0.0,,,,,,,0.7558414041996002,0.28518617153167725,0.269402876496315,,,,,
1,8,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.8672,-0.019937,0.29454,-0.501874,0.8672,-0.019937,0.29454,-0.501874,,,,,,,,,,0.9336000680923462,0.4900313578546047,219,0.2490631639957428,
1,9,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.762712,,,,-0.762712,0.0,0.0,0.0,,,,,,,,,,,,,,0.11864405870437622
1,10,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.884248,,,,-0.884248,0.0,0.0,0.0,,,,,,,,,,,,,,0.057876020669937134
1,11,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.411153,0.298722,0.27771,0.351425,-0.411153,0.298722,0.27771,0.351425,0.29442358016967773,8,0.6388549953699112,0.6757124960422516,,,,,,,,,,
