episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.099398,0.255456,0.391111,0.34777,0.099398,0.255456,0.391111,0.34777,0.5496987700462341,8,0.6955555230379105,0.673884928226471,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.148731,-0.540987,0.187847,,-0.148731,-0.540987,0.187847,0.0,,,,,,,0.4256346747279167,0.2295064926147461,0.593923345208168,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.169743,-0.497665,0.445984,0.390332,0.169743,-0.497665,0.445984,0.390332,,,,,,,,,,0.5848716422915459,0.2511674463748932,926,0.6951659619808197,
1,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.537306,,,,-0.537306,0.0,0.0,0.0,,,,,,,,,,,,,,0.2313467562198639
1,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.357109,,,,-0.357109,0.0,0.0,0.0,,,,,,,,,,,,,,0.321445569396019
1,6,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.128715,0.269634,0.260546,0.231633,-0.128715,0.269634,0.260546,0.231633,0.43564265966415405,8,0.6302731335163116,0.6158166006207466,,,,,,,,,,
1,7,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.511049,-0.302094,-0.383025,,0.511049,-0.302094,-0.383025,0.0,,,,,,,0.7555243372917175,0.3489528000354767,0.30848751962184906,,,,,
1,8,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.730396,0.132202,0.597575,-0.3271,0.730396,0.132202,0.597575,-0.3271,,,,,,,,,,0.865198016166687,0.5661009699106216,705,0.3364501893520355,
1,9,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.381816,,,,-0.381816,0.0,0.0,0.0,,,,,,,,,,,,,,0.30909211933612823
1,10,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.642558,,,,-0.642558,0.0,0.0,0.0,,,,,,,,,,,,,,0.17872080206871033
1,11,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.344499,0.245593,0.239544,0.288575,-0.344499,0.245593,0.239544,0.288575,0.32775044441223145,8,0.6197718530893326,0.6442876905202866,,,,,,,,,,
